county_name,precinct_name,office_title,candidate_ballot_name,yes_votes,no_votes,,
Adair,SOUTHEAST 4,State Representative - District 3,Danny Busick,306,,,
Adair,NORTHEAST 5,State Representative - District 3,Danny Busick,373,,,
Adair,NORTHEAST 6,State Representative - District 3,Danny Busick,521,,,
Adair,TSU,State Representative - District 3,Danny Busick,65,,,
Adair,RURAL BENTON,State Representative - District 3,Danny Busick,418,,,
Adair,BRASHEAR,State Representative - District 3,Danny Busick,0,,,
Adair,NOVINGER,State Representative - District 3,Danny Busick,537,,,
Adair,ABSENTEE,State Representative - District 3,Danny Busick,376,,,
Adair,FEDERAL,State Representative - District 3,Danny Busick,0,,,
Adair,SOUTHWEST 1,State Representative - District 3,Joni Perry,248,,,
Adair,SOUTHEAST 2,State Representative - District 3,Joni Perry,474,,,
Adair,SOUTHEAST 3,State Representative - District 3,Joni Perry,340,,,
Adair,SOUTHEAST 4,State Representative - District 3,Joni Perry,415,,,
Adair,NORTHEAST 5,State Representative - District 3,Joni Perry,286,,,
Adair,NORTHEAST 6,State Representative - District 3,Joni Perry,361,,,
Adair,TSU,State Representative - District 3,Joni Perry,208,,,
Adair,RURAL BENTON,State Representative - District 3,Joni Perry,205,,,
Adair,BRASHEAR,State Representative - District 3,Joni Perry,0,,,
Adair,NOVINGER,State Representative - District 3,Joni Perry,177,,,
Adair,ABSENTEE,State Representative - District 3,Joni Perry,345,,,
Adair,FEDERAL,State Representative - District 3,Joni Perry,0,,,
Adair,SOUTHWEST 1,State Representative - District 4,Greg Sharpe,0,,,
Adair,SOUTHEAST 2,State Representative - District 4,Greg Sharpe,0,,,
Adair,SOUTHEAST 3,State Representative - District 4,Greg Sharpe,0,,,
Adair,SOUTHEAST 4,State Representative - District 4,Greg Sharpe,0,,,
Adair,NORTHEAST 5,State Representative - District 4,Greg Sharpe,0,,,
Adair,NORTHEAST 6,State Representative - District 4,Greg Sharpe,0,,,
Adair,TSU,State Representative - District 4,Greg Sharpe,0,,,
Adair,RURAL BENTON,State Representative - District 4,Greg Sharpe,607,,,
Adair,BRASHEAR,State Representative - District 4,Greg Sharpe,577,,,
Adair,NOVINGER,State Representative - District 4,Greg Sharpe,73,,,
Adair,ABSENTEE,State Representative - District 4,Greg Sharpe,234,,,
Adair,FEDERAL,State Representative - District 4,Greg Sharpe,0,,,
Adair,SOUTHWEST 1,Constitutional Amendment No. 1,,342,159,,4563
Adair,SOUTHEAST 2,Constitutional Amendment No. 1,,688,394,,
Adair,SOUTHEAST 3,Constitutional Amendment No. 1,,374,156,,
Adair,SOUTHEAST 4,Constitutional Amendment No. 1,,500,212,,
Adair,NORTHEAST 5,Constitutional Amendment No. 1,,418,235,,
Adair,NORTHEAST 6,Constitutional Amendment No. 1,,531,348,,
Adair,TSU,Constitutional Amendment No. 1,,228,57,,
Adair,RURAL BENTON,Constitutional Amendment No. 1,,774,590,,
Adair,BRASHEAR,Constitutional Amendment No. 1,,321,365,,
Adair,NOVINGER,Constitutional Amendment No. 1,,387,395,,
Adair,ABSENTEE,Constitutional Amendment No. 1,,645,359,,
Adair,FEDERAL,Constitutional Amendment No. 1,,2,0,,
Andrew,LINCOLN,State Senator - District 12,Dan Hegeman,354,,,
Andrew,ROCHESTER,State Senator - District 12,Dan Hegeman,275,,,
Andrew,HELENA,State Senator - District 12,Dan Hegeman,203,,,
Andrew,EAST MONROE,State Senator - District 12,Dan Hegeman,145,,,
Andrew,WEST MONROE,State Senator - District 12,Dan Hegeman,191,,,
Andrew,CLAY/FILLMORE,State Senator - District 12,Dan Hegeman,313,,,
Andrew,NE/SE,State Senator - District 12,Dan Hegeman,979,,,
Andrew,NW/SW,State Senator - District 12,Dan Hegeman,833,,,
Andrew,BEELER/JG/CC,State Senator - District 12,Dan Hegeman,1556,,,
Andrew,BOLCKOW/RDALE/WPLT,State Senator - District 12,Dan Hegeman,398,,,
Andrew,EPLATTE/EEMPIRE,State Senator - District 12,Dan Hegeman,164,,,
Andrew,ABSENTEE,State Senator - District 12,Dan Hegeman,364,,,
Andrew,LINCOLN,State Senator - District 12,Terry Richard,97,,,
Andrew,ROCHESTER,State Senator - District 12,Terry Richard,56,,,
Andrew,HELENA,State Senator - District 12,Terry Richard,52,,,
Andrew,EAST MONROE,State Senator - District 12,Terry Richard,34,,,
Andrew,WEST MONROE,State Senator - District 12,Terry Richard,37,,,
Andrew,CLAY/FILLMORE,State Senator - District 12,Terry Richard,53,,,
Andrew,NE/SE,State Senator - District 12,Terry Richard,317,,,
Andrew,NW/SW,State Senator - District 12,Terry Richard,263,,,
Andrew,BEELER/JG/CC,State Senator - District 12,Terry Richard,545,,,
Andrew,BOLCKOW/RDALE/WPLT,State Senator - District 12,Terry Richard,94,,,
Andrew,EPLATTE/EEMPIRE,State Senator - District 12,Terry Richard,38,,,
Andrew,ABSENTEE,State Senator - District 12,Terry Richard,130,,,
Andrew,LINCOLN,State Representative - District 9,Sheila Solon,328,,,
Andrew,ROCHESTER,State Representative - District 9,Sheila Solon,240,,,
Andrew,HELENA,State Representative - District 9,Sheila Solon,187,,,
Andrew,EAST MONROE,State Representative - District 9,Sheila Solon,134,,,
Andrew,WEST MONROE,State Representative - District 9,Sheila Solon,166,,,
Andrew,CLAY/FILLMORE,State Representative - District 9,Sheila Solon,272,,,
Andrew,NE/SE,State Representative - District 9,Sheila Solon,874,,,
Andrew,NW/SW,State Representative - District 9,Sheila Solon,735,,,
Andrew,BEELER/JG/CC,State Representative - District 9,Sheila Solon,1401,,,
Andrew,BOLCKOW/RDALE/WPLT,State Representative - District 9,Sheila Solon,352,,,
Andrew,EPLATTE/EEMPIRE,State Representative - District 9,Sheila Solon,154,,,
Andrew,ABSENTEE,State Representative - District 9,Sheila Solon,322,,,
Andrew,LINCOLN,State Representative - District 9,Bob Bergland,120,,,
Andrew,ROCHESTER,State Representative - District 9,Bob Bergland,92,,,
Andrew,HELENA,State Representative - District 9,Bob Bergland,67,,,
Andrew,EAST MONROE,State Representative - District 9,Bob Bergland,44,,,
Andrew,WEST MONROE,State Representative - District 9,Bob Bergland,55,,,
Andrew,CLAY/FILLMORE,State Representative - District 9,Bob Bergland,88,,,
Andrew,NE/SE,State Representative - District 9,Bob Bergland,421,,,
Andrew,NW/SW,State Representative - District 9,Bob Bergland,350,,,
Andrew,BEELER/JG/CC,State Representative - District 9,Bob Bergland,695,,,
Andrew,BOLCKOW/RDALE/WPLT,State Representative - District 9,Bob Bergland,130,,,
Andrew,EPLATTE/EEMPIRE,State Representative - District 9,Bob Bergland,46,,,
Andrew,ABSENTEE,State Representative - District 9,Bob Bergland,167,,,
Andrew,LINCOLN,Constitutional Amendment No. 1,,269,184,,
Andrew,ROCHESTER,Constitutional Amendment No. 1,,161,167,,
Andrew,HELENA,Constitutional Amendment No. 1,,127,128,,
Andrew,EAST MONROE,Constitutional Amendment No. 1,,67,112,,
Andrew,WEST MONROE,Constitutional Amendment No. 1,,120,106,,
Andrew,CLAY/FILLMORE,Constitutional Amendment No. 1,,151,206,,
Andrew,NE/SE,Constitutional Amendment No. 1,,717,582,,
Andrew,NW/SW,Constitutional Amendment No. 1,,595,486,,
Andrew,BEELER/JG/CC,Constitutional Amendment No. 1,,1205,881,,
Andrew,BOLCKOW/RDALE/WPLT,Constitutional Amendment No. 1,,257,234,,
Andrew,EPLATTE/EEMPIRE,Constitutional Amendment No. 1,,91,112,,
Andrew,ABSENTEE,Constitutional Amendment No. 1,,278,207,,
Atchison,TARKIO,State Senator - District 12,Dan Hegeman,492,,,
Atchison,ROCK PORT,State Senator - District 12,Dan Hegeman,608,,,
Atchison,FAIRFAX,State Senator - District 12,Dan Hegeman,351,,,
Atchison,WESTBORO,State Senator - District 12,Dan Hegeman,125,,,
Atchison,WATSON,State Senator - District 12,Dan Hegeman,48,,,
Atchison,ABSENTEE,State Senator - District 12,Dan Hegeman,98,,,
Atchison,TARKIO,State Senator - District 12,Terry Richard,128,,,
Atchison,ROCK PORT,State Senator - District 12,Terry Richard,173,,,
Atchison,FAIRFAX,State Senator - District 12,Terry Richard,97,,,
Atchison,WESTBORO,State Senator - District 12,Terry Richard,24,,,
Atchison,WATSON,State Senator - District 12,Terry Richard,18,,,
Atchison,ABSENTEE,State Senator - District 12,Terry Richard,28,,,
Atchison,TARKIO,State Representative - District 1,Allen Andrews,520,,,
Atchison,ROCK PORT,State Representative - District 1,Allen Andrews,646,,,
Atchison,FAIRFAX,State Representative - District 1,Allen Andrews,378,,,
Atchison,WESTBORO,State Representative - District 1,Allen Andrews,121,,,
Atchison,WATSON,State Representative - District 1,Allen Andrews,50,,,
Atchison,ABSENTEE,State Representative - District 1,Allen Andrews,104,,,
Atchison,TARKIO,State Representative - District 1,Paul Taylor,105,,,
Atchison,ROCK PORT,State Representative - District 1,Paul Taylor,142,,,
Atchison,FAIRFAX,State Representative - District 1,Paul Taylor,77,,,
Atchison,WESTBORO,State Representative - District 1,Paul Taylor,27,,,
Atchison,WATSON,State Representative - District 1,Paul Taylor,17,,,
Atchison,ABSENTEE,State Representative - District 1,Paul Taylor,24,,,
Atchison,TARKIO,Constitutional Amendment No. 1,,329,289,,
Atchison,ROCK PORT,Constitutional Amendment No. 1,,431,335,,
Atchison,FAIRFAX,Constitutional Amendment No. 1,,203,241,,
Atchison,WESTBORO,Constitutional Amendment No. 1,,69,76,,
Atchison,WATSON,Constitutional Amendment No. 1,,37,30,,
Atchison,ABSENTEE,Constitutional Amendment No. 1,,76,47,,
Audrain,MEXICO 1,State Senator - District 10,Jeanie Riddle,420,,,
Audrain,MEXICO 5,State Senator - District 10,Jeanie Riddle,320,,,
Audrain,MEXICO 6,State Senator - District 10,Jeanie Riddle,550,,,
Audrain,1 E CUIVRE,State Senator - District 10,Jeanie Riddle,197,,,
Audrain,2 FARBER,State Senator - District 10,Jeanie Riddle,126,,,
Audrain,3 LADDONIA,State Senator - District 10,Jeanie Riddle,203,,,
Audrain,4 MARTINSBURG,State Senator - District 10,Jeanie Riddle,248,,,
Audrain,6 SOUTH FORK,State Senator - District 10,Jeanie Riddle,393,,,
Audrain,10 THOMPSON,State Senator - District 10,Jeanie Riddle,401,,,
Audrain,11 FRIENDSHIP,State Senator - District 10,Jeanie Riddle,257,,,
Audrain,VANDALIA,State Senator - District 10,Jeanie Riddle,535,,,
Audrain,RUSH HILL,State Senator - District 10,Jeanie Riddle,185,,,
Audrain,COMMUNITY,State Senator - District 10,Jeanie Riddle,632,,,
Audrain,4-H,State Senator - District 10,Jeanie Riddle,260,,,
Audrain,"MEXICO 2,3,4",State Senator - District 10,Jeanie Riddle,659,,,
Audrain,ABSENTEE,State Senator - District 10,Jeanie Riddle,315,,,
Audrain,MEXICO 1,State Senator - District 10,Ayanna Shivers,327,,,
Audrain,MEXICO 5,State Senator - District 10,Ayanna Shivers,214,,,
Audrain,MEXICO 6,State Senator - District 10,Ayanna Shivers,388,,,
Audrain,1 E CUIVRE,State Senator - District 10,Ayanna Shivers,49,,,
Audrain,2 FARBER,State Senator - District 10,Ayanna Shivers,59,,,
Audrain,3 LADDONIA,State Senator - District 10,Ayanna Shivers,68,,,
Audrain,4 MARTINSBURG,State Senator - District 10,Ayanna Shivers,76,,,
Audrain,6 SOUTH FORK,State Senator - District 10,Ayanna Shivers,164,,,
Audrain,10 THOMPSON,State Senator - District 10,Ayanna Shivers,110,,,
Audrain,11 FRIENDSHIP,State Senator - District 10,Ayanna Shivers,60,,,
Audrain,VANDALIA,State Senator - District 10,Ayanna Shivers,275,,,
Audrain,RUSH HILL,State Senator - District 10,Ayanna Shivers,50,,,
Audrain,COMMUNITY,State Senator - District 10,Ayanna Shivers,240,,,
Audrain,4-H,State Senator - District 10,Ayanna Shivers,82,,,
Audrain,"MEXICO 2,3,4",State Senator - District 10,Ayanna Shivers,630,,,
Audrain,ABSENTEE,State Senator - District 10,Ayanna Shivers,159,,,
Audrain,MEXICO 1,State Representative - District 43,Kent Haden,509,,,
Audrain,MEXICO 5,State Representative - District 43,Kent Haden,363,,,
Audrain,MEXICO 6,State Representative - District 43,Kent Haden,644,,,
Audrain,1 E CUIVRE,State Representative - District 43,Kent Haden,200,,,
Audrain,2 FARBER,State Representative - District 43,Kent Haden,116,,,
Audrain,3 LADDONIA,State Representative - District 43,Kent Haden,195,,,
Audrain,4 MARTINSBURG,State Representative - District 43,Kent Haden,264,,,
Audrain,6 SOUTH FORK,State Representative - District 43,Kent Haden,447,,,
Audrain,10 THOMPSON,State Representative - District 43,Kent Haden,405,,,
Audrain,11 FRIENDSHIP,State Representative - District 43,Kent Haden,256,,,
Audrain,VANDALIA,State Representative - District 43,Kent Haden,513,,,
Audrain,RUSH HILL,State Representative - District 43,Kent Haden,196,,,
Audrain,COMMUNITY,State Representative - District 43,Kent Haden,694,,,
Audrain,4-H,State Representative - District 43,Kent Haden,285,,,
Audrain,"MEXICO 2,3,4",State Representative - District 43,Kent Haden,742,,,
Audrain,ABSENTEE,State Representative - District 43,Kent Haden,331,,,
Audrain,MEXICO 1,State Representative - District 43,Jamie Blair,231,,,
Audrain,MEXICO 5,State Representative - District 43,Jamie Blair,165,,,
Audrain,MEXICO 6,State Representative - District 43,Jamie Blair,286,,,
Audrain,1 E CUIVRE,State Representative - District 43,Jamie Blair,48,,,
Audrain,2 FARBER,State Representative - District 43,Jamie Blair,66,,,
Audrain,3 LADDONIA,State Representative - District 43,Jamie Blair,74,,,
Audrain,4 MARTINSBURG,State Representative - District 43,Jamie Blair,60,,,
Audrain,6 SOUTH FORK,State Representative - District 43,Jamie Blair,112,,,
Audrain,10 THOMPSON,State Representative - District 43,Jamie Blair,106,,,
Audrain,11 FRIENDSHIP,State Representative - District 43,Jamie Blair,60,,,
Audrain,VANDALIA,State Representative - District 43,Jamie Blair,289,,,
Audrain,RUSH HILL,State Representative - District 43,Jamie Blair,41,,,
Audrain,COMMUNITY,State Representative - District 43,Jamie Blair,168,,,
Audrain,4-H,State Representative - District 43,Jamie Blair,60,,,
Audrain,"MEXICO 2,3,4",State Representative - District 43,Jamie Blair,529,,,
Audrain,ABSENTEE,State Representative - District 43,Jamie Blair,145,,,
Audrain,MEXICO 1,Constitutional Amendment No. 1,,410,319,,
Audrain,MEXICO 5,Constitutional Amendment No. 1,,308,216,,
Audrain,MEXICO 6,Constitutional Amendment No. 1,,566,359,,
Audrain,1 E CUIVRE,Constitutional Amendment No. 1,,119,119,,
Audrain,2 FARBER,Constitutional Amendment No. 1,,80,95,,
Audrain,3 LADDONIA,Constitutional Amendment No. 1,,131,132,,
Audrain,4 MARTINSBURG,Constitutional Amendment No. 1,,122,187,,
Audrain,6 SOUTH FORK,Constitutional Amendment No. 1,,291,257,,
Audrain,10 THOMPSON,Constitutional Amendment No. 1,,231,281,,
Audrain,11 FRIENDSHIP,Constitutional Amendment No. 1,,143,166,,
Audrain,VANDALIA,Constitutional Amendment No. 1,,420,370,,
Audrain,RUSH HILL,Constitutional Amendment No. 1,,108,125,,
Audrain,COMMUNITY,Constitutional Amendment No. 1,,472,374,,
Audrain,4-H,Constitutional Amendment No. 1,,169,167,,
Audrain,"MEXICO 2,3,4",Constitutional Amendment No. 1,,763,489,,
Audrain,ABSENTEE,Constitutional Amendment No. 1,,266,192,,
Barry,EXETER,State Representative - District 158,Scott Fitzpatrick,568,,,
Barry,JENKINS,State Representative - District 158,Scott Fitzpatrick,299,,,
Barry,MONETT,State Representative - District 158,Scott Fitzpatrick,1260,,,
Barry,ROARING RIVER,State Representative - District 158,Scott Fitzpatrick,419,,,
Barry,WHEATON,State Representative - District 158,Scott Fitzpatrick,467,,,
Barry,GOLDEN,State Representative - District 158,Scott Fitzpatrick,444,,,
Barry,SHELL KNOB,State Representative - District 158,Scott Fitzpatrick,879,,,
Barry,SELIGMAN,State Representative - District 158,Scott Fitzpatrick,403,,,
Barry,CASSVILLE-CITY,State Representative - District 158,Scott Fitzpatrick,833,,,
Barry,BUTTERFIELD/MCDONALD,State Representative - District 158,Scott Fitzpatrick,359,,,
Barry,CASSVILLE RURAL/MINERAL,State Representative - District 158,Scott Fitzpatrick,1116,,,
Barry,KINGS PRAIRIE/PLEASANT RIDGE,State Representative - District 158,Scott Fitzpatrick,548,,,
Barry,MONETT RURAL/CAPPS CREEK,State Representative - District 158,Scott Fitzpatrick,455,,,
Barry,OZARK/CRANE CREEK,State Representative - District 158,Scott Fitzpatrick,600,,,
Barry,PURDY/MCDOWELL,State Representative - District 158,Scott Fitzpatrick,771,,,
Barry,WASHBURN/ASH,State Representative - District 158,Scott Fitzpatrick,558,,,
Barry,ABSENTEE,State Representative - District 158,Scott Fitzpatrick,882,,,
Barry,EXETER,Constitutional Amendment No. 1,,294,336,,
Barry,JENKINS,Constitutional Amendment No. 1,,173,149,,
Barry,MONETT,Constitutional Amendment No. 1,,892,487,,
Barry,ROARING RIVER,Constitutional Amendment No. 1,,337,140,,
Barry,WHEATON,Constitutional Amendment No. 1,,227,287,,
Barry,GOLDEN,Constitutional Amendment No. 1,,354,152,,
Barry,SHELL KNOB,Constitutional Amendment No. 1,,644,333,,
Barry,SELIGMAN,Constitutional Amendment No. 1,,296,165,,
Barry,CASSVILLE-CITY,Constitutional Amendment No. 1,,507,401,,
Barry,BUTTERFIELD/MCDONALD,Constitutional Amendment No. 1,,229,165,,
Barry,CASSVILLE RURAL/MINERAL,Constitutional Amendment No. 1,,573,609,,
Barry,KINGS PRAIRIE/PLEASANT RIDGE,Constitutional Amendment No. 1,,305,289,,
Barry,MONETT RURAL/CAPPS CREEK,Constitutional Amendment No. 1,,248,230,,
Barry,OZARK/CRANE CREEK,Constitutional Amendment No. 1,,387,274,,
Barry,PURDY/MCDOWELL,Constitutional Amendment No. 1,,382,451,,
Barry,WASHBURN/ASH,Constitutional Amendment No. 1,,338,275,,
Barry,ABSENTEE,Constitutional Amendment No. 1,,655,335,,
Barton,ABSENTEE,State Representative - District 127,Ann Kelley,264,,,
Barton,BARTON CITY/LEROY/OZARK,State Representative - District 127,Ann Kelley,452,,,
Barton,CENTRAL/NASHVILLE/NORTHFORK,State Representative - District 127,Ann Kelley,492,,,
Barton,CITY 1 & 2,State Representative - District 127,Ann Kelley,662,,,
Barton,CITY 3 & 4,State Representative - District 127,Ann Kelley,566,,,
Barton,DOYLESPORT/MILFORD/NEWPORT/UNION,State Representative - District 127,Ann Kelley,415,,,
Barton,GOLDEN CITY,State Representative - District 127,Ann Kelley,327,,,
Barton,LAMAR/RICHLAND,State Representative - District 127,Ann Kelley,758,,,
Barton,SOUTHWEST,State Representative - District 127,Ann Kelley,150,,,
Barton,ABSENTEE,State Representative - District 127,Teri Hanna,65,,,
Barton,BARTON CITY/LEROY/OZARK,State Representative - District 127,Teri Hanna,99,,,
Barton,CENTRAL/NASHVILLE/NORTHFORK,State Representative - District 127,Teri Hanna,84,,,
Barton,CITY 1 & 2,State Representative - District 127,Teri Hanna,135,,,
Barton,CITY 3 & 4,State Representative - District 127,Teri Hanna,151,,,
Barton,DOYLESPORT/MILFORD/NEWPORT/UNION,State Representative - District 127,Teri Hanna,70,,,
Barton,GOLDEN CITY,State Representative - District 127,Teri Hanna,71,,,
Barton,LAMAR/RICHLAND,State Representative - District 127,Teri Hanna,123,,,
Barton,SOUTHWEST,State Representative - District 127,Teri Hanna,75,,,
Barton,ABSENTEE,Constitutional Amendment No. 1,,146,186,,
Barton,BARTON CITY/LEROY/OZARK,Constitutional Amendment No. 1,,189,351,,
Barton,CENTRAL/NASHVILLE/NORTHFORK,Constitutional Amendment No. 1,,162,410,,
Barton,CITY 1 & 2,Constitutional Amendment No. 1,,291,500,,
Barton,CITY 3 & 4,Constitutional Amendment No. 1,,254,454,,
Barton,DOYLESPORT/MILFORD/NEWPORT/UNION,Constitutional Amendment No. 1,,139,355,,
Barton,GOLDEN CITY,Constitutional Amendment No. 1,,164,232,,
Barton,LAMAR/RICHLAND,Constitutional Amendment No. 1,,264,612,,
Barton,SOUTHWEST,Constitutional Amendment No. 1,,127,99,,
Bates,ADRIAN SOUTH (2),State Representative - District 56,Jack Bondon,60,,,
Bates,DREXEL (10),State Representative - District 56,Jack Bondon,131,,,
Bates,ABSENTEE,State Representative - District 56,Jack Bondon,9,,,
Bates,ADRIAN NORTH (1),State Representative - District 57,Rodger L. Reedy,145,,,
Bates,ADRIAN SOUTH (2),State Representative - District 57,Rodger L. Reedy,63,,,
Bates,BALLARD (5),State Representative - District 57,Rodger L. Reedy,37,,,
Bates,ABSENTEE,State Representative - District 57,Rodger L. Reedy,9,,,
Bates,ADRIAN NORTH (1),State Representative - District 57,Joan Shores,56,,,
Bates,ADRIAN SOUTH (2),State Representative - District 57,Joan Shores,30,,,
Bates,BALLARD (5),State Representative - District 57,Joan Shores,15,,,
Bates,ABSENTEE,State Representative - District 57,Joan Shores,7,,,
Bates,ADRIAN NORTH (1),State Representative - District 126,Patricia Pike,313,,,
Bates,ADRIAN SOUTH (2),State Representative - District 126,Patricia Pike,420,,,
Bates,AMORET (3),State Representative - District 126,Patricia Pike,161,,,
Bates,AMSTERDAM (4),State Representative - District 126,Patricia Pike,199,,,
Bates,BALLARD (5),State Representative - District 126,Patricia Pike,229,,,
Bates,BUTLER 1 (6),State Representative - District 126,Patricia Pike,375,,,
Bates,BUTLER 2 (7),State Representative - District 126,Patricia Pike,353,,,
Bates,BUTLER 3 (8),State Representative - District 126,Patricia Pike,509,,,
Bates,BUTLER 4 (9),State Representative - District 126,Patricia Pike,361,,,
Bates,DREXEL (10),State Representative - District 126,Patricia Pike,56,,,
Bates,HUDSON (11),State Representative - District 126,Patricia Pike,171,,,
Bates,HUME (12),State Representative - District 126,Patricia Pike,210,,,
Bates,RICH HILL NORTH (13),State Representative - District 126,Patricia Pike,247,,,
Bates,RICH HILL SOUTH (14),State Representative - District 126,Patricia Pike,301,,,
Bates,ROCKVILLE (15),State Representative - District 126,Patricia Pike,65,,,
Bates,ABSENTEE,State Representative - District 126,Patricia Pike,362,,,
Bates,ADRIAN NORTH (1),State Representative - District 126,Jim Hogan,209,,,
Bates,ADRIAN SOUTH (2),State Representative - District 126,Jim Hogan,307,,,
Bates,AMORET (3),State Representative - District 126,Jim Hogan,46,,,
Bates,AMSTERDAM (4),State Representative - District 126,Jim Hogan,82,,,
Bates,BALLARD (5),State Representative - District 126,Jim Hogan,63,,,
Bates,BUTLER 1 (6),State Representative - District 126,Jim Hogan,127,,,
Bates,BUTLER 2 (7),State Representative - District 126,Jim Hogan,125,,,
Bates,BUTLER 3 (8),State Representative - District 126,Jim Hogan,156,,,
Bates,BUTLER 4 (9),State Representative - District 126,Jim Hogan,118,,,
Bates,DREXEL (10),State Representative - District 126,Jim Hogan,10,,,
Bates,HUDSON (11),State Representative - District 126,Jim Hogan,34,,,
Bates,HUME (12),State Representative - District 126,Jim Hogan,36,,,
Bates,RICH HILL NORTH (13),State Representative - District 126,Jim Hogan,59,,,
Bates,RICH HILL SOUTH (14),State Representative - District 126,Jim Hogan,87,,,
Bates,ROCKVILLE (15),State Representative - District 126,Jim Hogan,16,,,
Bates,ABSENTEE,State Representative - District 126,Jim Hogan,123,,,
Bates,ADRIAN NORTH (1),State Representative - District 126,Stephen Biles,5,,,
Bates,ADRIAN SOUTH (2),State Representative - District 126,Stephen Biles,11,,,
Bates,AMORET (3),State Representative - District 126,Stephen Biles,3,,,
Bates,AMSTERDAM (4),State Representative - District 126,Stephen Biles,7,,,
Bates,BALLARD (5),State Representative - District 126,Stephen Biles,4,,,
Bates,BUTLER 1 (6),State Representative - District 126,Stephen Biles,11,,,
Bates,BUTLER 2 (7),State Representative - District 126,Stephen Biles,11,,,
Bates,BUTLER 3 (8),State Representative - District 126,Stephen Biles,12,,,
Bates,BUTLER 4 (9),State Representative - District 126,Stephen Biles,10,,,
Bates,DREXEL (10),State Representative - District 126,Stephen Biles,4,,,
Bates,HUDSON (11),State Representative - District 126,Stephen Biles,4,,,
Bates,HUME (12),State Representative - District 126,Stephen Biles,11,,,
Bates,RICH HILL NORTH (13),State Representative - District 126,Stephen Biles,1,,,
Bates,RICH HILL SOUTH (14),State Representative - District 126,Stephen Biles,9,,,
Bates,ROCKVILLE (15),State Representative - District 126,Stephen Biles,3,,,
Bates,ABSENTEE,State Representative - District 126,Stephen Biles,6,,,
Bates,ADRIAN NORTH (1),Constitutional Amendment No. 1,,435,275,,
Bates,ADRIAN SOUTH (2),Constitutional Amendment No. 1,,563,344,,
Bates,AMORET (3),Constitutional Amendment No. 1,,132,72,,
Bates,AMSTERDAM (4),Constitutional Amendment No. 1,,161,120,,
Bates,BALLARD (5),Constitutional Amendment No. 1,,186,153,,
Bates,BUTLER 1 (6),Constitutional Amendment No. 1,,281,225,,
Bates,BUTLER 2 (7),Constitutional Amendment No. 1,,288,190,,
Bates,BUTLER 3 (8),Constitutional Amendment No. 1,,370,295,,
Bates,BUTLER 4 (9),Constitutional Amendment No. 1,,262,226,,
Bates,DREXEL (10),Constitutional Amendment No. 1,,122,104,,
Bates,HUDSON (11),Constitutional Amendment No. 1,,100,107,,
Bates,HUME (12),Constitutional Amendment No. 1,,129,122,,
Bates,RICH HILL NORTH (13),Constitutional Amendment No. 1,,158,141,,
Bates,RICH HILL SOUTH (14),Constitutional Amendment No. 1,,210,180,,
Bates,ROCKVILLE (15),Constitutional Amendment No. 1,,36,45,,
Bates,ABSENTEE,Constitutional Amendment No. 1,,292,197,,
Benton,COLE,State Senator - District 28,Sandy Crawford,512,,,
Benton,WILLIAMS,State Senator - District 28,Sandy Crawford,1095,,,
Benton,LINDSEY,State Senator - District 28,Sandy Crawford,1178,,,
Benton,WHITE,State Senator - District 28,Sandy Crawford,711,,,
Benton,UNION,State Senator - District 28,Sandy Crawford,451,,,
Benton,TOM,State Senator - District 28,Sandy Crawford,624,,,
